"ant1","ant2","space","weight","duration","weightHH","durationHH"
3,33,1,380,1593.16775536537,136,461.333205938339
3,34,1,362,1522.66812634468,163,902.00005197525
3,35,1,34,73.1671016216278,22,56.0005140304565
3,36,1,114,267.000154495239,29,110.166341304779
3,37,1,37,69.9988853931427,9,10.1666877269745
3,38,1,10,38.1665599346161,5,33.8335239887238
3,39,1,86,176.16993689537,28,37.1673452854156
3,40,1,59,130.003375768661,26,56.834552526474
3,41,1,77,1194.167116642,22,315.66833782196
3,42,1,8,13.6667070388794,1,1.16667604446411
3,43,1,33,41.3332681655884,15,25.4996259212494
3,44,1,18,48.832142829895,6,13.8330910205841
3,45,1,61,376.834848403931,14,58.0004661083221
3,46,1,11,16.6661021709442,1,1.4999828338623
3,47,1,321,1701.67216181755,170,1206.33682179451
3,48,1,46,115.500295877457,18,64.0007321834564
3,49,1,34,58.1666164398193,13,27.0006082057953
3,50,1,16,27.0003967285156,8,15.8332531452179
3,51,1,94,332.996773004532,21,68.5004954338074
3,52,1,213,2218.33491158485,55,195.831205606461
3,53,1,98,369.666991472244,39,130.832023382187
3,54,1,61,267.667278289795,22,155.833078384399
3,55,1,394,1423.00482654572,132,502.665604352951
3,56,1,204,1553.50319385529,51,400.500837564468
3,57,1,332,2137.83953952789,67,479.833182811737
3,58,1,29,286.668077230453,5,11.8336577415466
3,59,1,411,2910.8396718502,184,951.835287094116
3,60,1,82,214.668013334274,20,63.1667451858521
3,61,1,61,165.333130836487,27,66.3327536582947
3,62,1,97,442.329416513443,34,245.665260791779
3,63,1,189,1444.84414386749,41,189.501412153244
3,64,1,154,957.834532976151,46,499.334620714188
3,65,1,184,779.834873914719,59,514.000148773193
3,66,1,726,3400.34485840797,523,2718.50866580009
3,67,1,236,1139.67026877403,76,672.503942251205
3,68,1,186,490.503204107285,76,193.665946006775
3,69,1,400,1966.66415882111,137,731.332983255386
3,70,1,255,1088.00360131264,95,442.004975795746
3,71,1,175,484.003836393356,53,138.166722774506
3,72,1,243,1140.50200843811,104,512.004947900772
3,73,1,62,143.332161903381,18,49.9985196590424
3,74,1,342,3084.67230582237,119,982.332915306091
3,75,1,205,838.666347742081,79,480.999783277512
3,76,1,309,1618.17783355713,120,842.67557477951
3,77,1,107,308.832253932953,41,137.33296585083
3,78,1,117,398.000817775726,43,76.3338959217072
3,79,1,148,459.334868907928,51,140.833868741989
3,80,1,457,1386.49653458595,236,932.000986814499
3,81,1,186,522.500399112701,85,332.667554616928
3,82,1,591,1888.49864196777,384,1302.16813850403
3,83,1,504,2311.01398038864,324,2068.1762919426
3,84,1,134,369.001435995102,50,126.668433666229
3,85,1,145,461.999015808105,42,263.83388376236
3,86,1,360,2135.83912372589,136,620.834830522537
3,87,1,244,1248.33598613739,60,160.000552177429
3,88,1,187,575.671460390091,56,186.334804058075
3,89,1,283,1461.50135588646,98,726.998368501663
3,90,1,216,887.00608253479,67,360.503246068954
3,91,1,125,801.0043156147,35,69.3339595794678
