"Age","Forage","Nurse","Maturity","colony"
2,0.0479476252696202,0.0303030303030303,0.0687354294538118,"A"
24,0.94009271924124,0,1,"A"
22,0.0509275276621933,0,0.973077330822513,"A"
4,0,0.0909090909090909,0.014039470231698,"A"
15,0,0.166666666666667,0.0971366767940126,"A"
4,0.545963954531139,0,0.886823550122,"A"
1,0,0.0303030303030303,0.088550044382826,"A"
3,0,0.454545454545455,0.0101105490420426,"A"
14,0,0.0757575757575758,0.0431917411428591,"A"
6,0,0.818181818181818,0.00320034791242363,"A"
10,0,0.0151515151515152,0.106746214992529,"A"
20,0.877220599456671,0,0.999999999998048,"A"
21,0.262779960290017,0,0.927796357616484,"A"
26,0,0,0.837077840388114,"A"
2,0,0.333333333333333,0.0145962941364521,"A"
31,0,0,0.929404261268299,"A"
5,0,0.439393939393939,0.00431720162746419,"A"
2,0,0.257575757575758,0.00542003325038994,"A"
8,0,0.0303030303030303,0.110178111528931,"A"
29,0.00039781949654873,0,0.94403751430601,"A"
23,0.916897110179333,0,0.999973548740753,"A"
28,0.0188654289302267,0,0.939777333774049,"A"
15,0.44164545057603,0,0.936019883006108,"A"
10,0,0.106060606060606,0.118268465036878,"A"
20,0.914649707575522,0,1,"A"
1,0.223471067534812,0,0.85921130766275,"A"
6,0.169103235212983,0,0.912076605600732,"A"
24,0,0,0.737832699526354,"A"
32,0,0,0.823474540107058,"A"
19,0,0,0.947157011185008,"A"
5,0,0.560606060606061,0.00875112503178048,"A"
2,0,0.333333333333333,0.045689387880301,"A"
20,0.102514121185228,0,0.869107734441077,"A"
11,0,0.151515151515152,0.0594855488661997,"A"
2,0,0,0.7120237499772,"A"
5,0,0.0909090909090909,0.154493324345018,"A"
14,0.527479854620716,0.0151515151515152,0.985247455980021,"A"
1,0,0.333333333333333,0.00876072333957257,"A"
10,0,0.212121212121212,0.0212440070297759,"A"
10,0,0.0606060606060606,0.0946153031597889,"A"
13,0,0,0.0834565608634416,"A"
3,0,0.121212121212121,0.0409528546261988,"A"
19,0.776501569184908,0,0.976752238246669,"A"
