"maturity","colony"
0.0459671285214242,4
0.713254206020436,4
0.901655599204011,4
1,4
0.900524584573493,4
1,4
0.00606795892955117,4
0.93276813660138,4
0.117477391343394,4
0.0129032542278156,4
0.0802057703026126,4
0.0031469864423272,4
0.00535736861213232,4
0.0205787485318471,4
0.0387974768049258,4
0.00160132421190902,4
0.0143016166011396,4
0.941138320879289,4
0.322350390070864,4
1,4
0.0222027292148124,4
1,4
0.999394599350012,4
0.8919022986598,4
0.00438904694592655,4
0.00445783884155812,4
0.00191013809360887,4
0.00200713714166437,4
0.0740056592678586,4
0.00283927876383229,4
0.00283168349023193,4
0.440141252173139,4
0.176546274048741,4
0.00273030369483848,4
0.0255982849040604,4
0.00247470943626745,4
0.118327084639215,4
0.00250491533550152,4
0.37308249512524,4
0.0763864972755408,4
0.720069385789462,4
0.235561554630617,4
1,4
0.0147804461609699,4
1,4
0.0214909721023252,4
0.0406804649766649,4
0.000997292420152924,4
0.239337617288773,4
0.0890348170358539,4
0.427816499590338,4
0.801771156310818,4
0.0398771830561185,4
0.303736981211735,4
0.00424675016254427,4
0.970559270496107,4
0.050474809887907,4
0.092404907588713,4
0.299913242542476,4
0.0341948325552306,4
0.0545738721972299,4
0.200221249049233,4
0.124491238134408,4
1,4
0.467664847953771,4
0.182756548138149,4
0.0132164961859835,4
0.411270722206462,4
1,4
0.941897246793688,4
0.953568840051253,4
0.70610613220286,4
0.00253296071128194,4
0.0496021192467146,4
0.00988583241046567,4
1,4
0.00401627617308736,4
0.00644944547264001,4
0.973719123345479,4
0.955155237386796,4
0.0114715997571615,4
0.0420745420287379,4
0.0178091144870068,4
0.0036603323293322,4
0.0597854429500936,4
0.00327566768777237,4
0.0112358686777234,4
0.0249840937028615,4
0.00823258508242027,4
0.767415468725198,4
0.0103720740570738,4
0.00341362336999117,4
0.0146233956941051,4
0.937130845128216,4
0.0886188509865004,4
0.00700753247840573,4
0.00808856229591273,4
0.00758109850682913,4
0.938713338260396,4
1,4
0.156408421512569,4
1,4
0.00582792317084687,4
0.00419608590649541,4
0.134210365377733,4
0.00379103373473945,4
0.689814070291652,4
0.613763246820425,4
0.00217666375431321,4
0.957364689804021,4
0.0029951867672341,4
0.00272211061082702,4
0.00900843291220001,4
0.00674792786600377,4
0.0724671424312519,4
0.00119342694751493,4
0.127782706512175,4
0.00936441673267637,4
1,4
0.00254557607466064,4
0.00330352427563644,4
