"ant1","ant2","space","weight","duration","weightHH","durationHH"
1,36,2,191,225.671712398529,120,136.671825647354
1,37,1,2,2.00013303756714,1,1.50013303756714
1,37,2,3,1.66630601882935,2,1.0000958442688
1,38,1,360,2394.16870927811,97,667.834169149399
1,40,1,64,178.501906394958,14,41.5014846324921
1,41,1,94,438.837734699249,11,17.1668181419373
1,42,1,92,422.664095163345,27,127.666213035583
1,43,1,41,338.501068592072,15,57.6662242412567
1,44,1,131,535.502240896225,33,86.3339276313782
1,45,1,12,27.1676023006439,6,19.5001740455627
1,46,1,85,212.999836444855,32,46.3327803611755
1,47,1,70,224.002283811569,26,122.000018358231
1,48,1,19,100.00047826767,7,46.3338282108307
1,49,1,9,22.666962146759,5,17.6673049926758
1,50,1,18,26.5009005069733,10,11.1672260761261
1,51,1,56,238.835357904434,15,41.6676418781281
1,51,2,28,63.6658463478088,13,42.333179473877
1,52,1,235,710.837995290756,43,143.166621685028
1,52,2,4,1.66652917861938,3,1.33318519592285
1,53,1,82,166.330896377563,35,55.6642572879791
1,54,1,545,3570.836591959,305,2341.66838955879
1,55,1,9,12.1669008731842,2,6.50014591217041
1,56,1,3,2.49982881546021,0,0
1,57,1,367,3495.67909574509,99,872.170088529587
1,58,1,25,35.6671047210693,6,3.83305597305298
1,59,1,14,32.5002896785736,5,21.1670660972595
1,59,2,131,459.166350126266,76,358.502802848816
1,60,1,193,948.500858545303,100,506.83549785614
1,61,1,10,7.83324146270752,6,3.33308959007263
1,62,1,50,110.332705974579,23,42.1678006649017
1,63,1,1,2.16657400131226,1,2.16657400131226
1,64,1,71,198.170853853226,25,62.8360064029694
1,65,1,15,24.8339896202087,9,11.3333368301392
1,66,1,20,19.0004096031189,7,4.50012588500977
1,67,1,50,178.334680557251,30,145.166725158691
1,68,1,3,2.50039196014404,2,2.16692399978638
1,69,1,20,187.001065254211,7,40.8335921764374
1,70,1,90,173.833500623703,54,130.499961137772
1,70,2,116,144.002296447754,72,104.168206214905
1,71,1,519,4291.51864004135,139,1194.16539621353
1,71,2,103,242.501762390137,55,106.833070993423
1,72,1,218,956.003794670105,65,247.667922258377
1,73,1,19,45.3353745937347,6,19.6679382324219
1,74,1,181,2207.67653560638,77,1154.17080283165
1,75,1,14,20.5008511543274,8,16.1677303314209
1,76,1,3,4.33325386047363,2,3.33325695991516
1,77,1,30,155.334511518478,18,128.333344697952
1,78,1,178,601.665203332901,69,204.665630340576
1,79,1,101,140.499724388123,46,71.0006356239319
1,79,2,282,286.174300670624,155,176.002665758133
1,80,1,222,1532.67114186287,97,1054.83806276321
1,81,1,185,705.333034038544,65,347.499987125397
1,81,2,350,2589.35076117516,199,1596.84256577492
1,82,1,59,511.001814842224,12,23.6673405170441
1,83,1,73,119.498135089874,39,64.1652307510376
1,83,2,198,578.838294267654,103,361.170630216599
1,84,1,610,5200.33793711662,218,1730.6649889946
1,84,2,156,1234.00617790222,49,589.16957116127
1,85,1,195,868.336047410965,72,416.668525457382
1,85,2,10,17.1680240631104,6,13.6674659252167
1,86,1,190,2143.33693480492,64,345.500361204147
1,87,1,439,1308.3398604393,118,320.831040620804
1,88,1,77,163.999728441238,28,63.3330364227295
1,89,1,15,13.3326170444489,4,3.33311629295349
1,90,1,35,76.1678619384766,17,37.3338646888733
1,91,1,408,1802.3332927227,129,626.833013057709
1,91,2,2,0.666694164276123,1,0.166700124740601
1,92,1,46,134.498562812805,17,49.498722076416
1,93,1,457,4188.50857639313,194,2489.33844304085
1,94,1,78,220.333519697189,29,75.8323767185211
1,95,1,103,1480.83972334862,40,285.502232551575
1,95,2,95,143.669547319412,52,84.668514251709
1,96,1,12,14.1676869392395,7,9.16723704338074
1,97,1,43,309.333932638168,15,46.0007340908051
1,98,1,64,331.66756105423,24,97.3347511291504
1,99,1,129,1815.50177788734,39,744.668206930161
1,100,1,119,499.001900672913,62,314.833884716034
1,101,1,21,59.8337931632996,7,19.1681804656982
1,102,1,116,306.002636194229,52,182.834632635117
1,102,2,115,160.831772565842,72,115.666254520416
1,103,1,7,6.33359432220459,4,5.00008511543274
1,104,1,278,2144.66698026657,78,1007.83318948746
1,105,1,41,83.8341526985168,16,42.5002558231354
1,106,1,109,1775.83686900139,55,1582.83605599403
1,106,2,20,29.1671199798584,12,20.8345317840576
1,107,1,7,6.3341064453125,2,1.66666674613953
1,108,1,5,6.66783285140991,2,4.50055003166199
1,109,1,32,130.666195869446,12,15.8333413600922
1,110,1,78,364.167191505432,38,268.83510351181
1,110,2,74,272.667781591415,33,214.501641750336
